,Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
0,T. Nandakumar Simh,Male,Hindu,General,1-Feb-1954,,,25-Nov-2004,31-Jan-2016,No,No,Gauhati High Court,Yes,Meghalaya High Court,23-Mar-2013,,,,,No,,,,No,,Bar,No,Yes,Yes,,Yes,Yes,,,Yes,,,,Utkal University,Science,Lucknow University,1977.0,1978,"Bar Council of Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
1,Ved Prakash Vaish,Male,Hindu,General,27-Jun-1959,Delhi,,17-Apr-2013,26-Jun-2021,No,No,Delhi High Court,Yes,Meghalaya High Court,23-May-2016,Allahabad High Court,27-Nov-2019,,,No,,,,No,,Service,Yes,Yes,,Yes,,No,No,No,No,,,Delhi,Delhi University,,,1984.0,1984,Bar Council at Delhi,No,No,No
2,Sudeep Ranjan Sen,Male,Hindu,General,9-Mar-1957,Meghalaya,Shillong,6-Feb-2012,8-Mar-2019,No,No,Gauhati High Court,Yes,Meghalaya High Court,23-Mar-2013,,,,,No,,,,No,,Service,Yes,Yes,,Yes,Yes,No,No,No,No,,,Shillong,Shillong ,Arts,Shillong Law College,,1989,"Bar Council of Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
3,T. Meena Kumari,Female,Hindu,General,3-Aug-1951,Andhra Pradesh,Visakhapatnam,23-Feb-1998,3-Aug-2013,No,No,Andhra Pradesh High Court,Yes,Madras High Court,23-Mar-1998,Andhra Pradesh High Court,5-Sep-2001,Patna High Court,27-Oct-2010,Yes,Andhra Pradesh High Court,Meghalaya High Court,,No,,Bar,No,Yes,Yes,,Yes,No,Yes,,Yes,,Yes,,,Science,Osmania University,,1976,Bar Council at Andhra Pradesh,No,No,No
4,Prafulla Chandra Pant,Male,Hindu,General,30-Aug-1952,Uttarakhand,Pithorgarh,29-Jun-2004,29-Aug-2017,No,No,Uttarakhand High Court,No,,,,,,,Yes,Meghalaya High Court,,,Yes,13-Aug-2014,Service,Yes,Yes,,Yes,,,No,No,No,,,Pithorgarh,Allahabad University,Science,Lucknow University,,1973,Bar Council at Uttar Pradesh,No,No,No
5,Uma Nath Simh,Male,Hindu,General,15-Jan-1954,,,23-Apr-1982,14-Jan-2016,No,No,Madhya Pradesh High Court,Yes,Punjab and Haryana High Court,2-Dec-2004,Allahabad High Court,30-Jun-2009,Meghalaya High Court,27-Aug-2014,Yes,Meghalaya High Court,,,No,,Bar,No,Yes,Yes,No,Yes,No,No,No,No,,,Ewing Christian Public School,Ewing Christian College,Science,Allahabad University,,1982,Bar Council at Delhi,No,Yes,No
6,Dinesh Maheswari,Male,Hindu,General,15-Apr-1958,Rajasthan,Udaipur,2-Sep-2004,14-May-2023,No,No,Rajasthan High Court,Yes,Allahabad High Court,19-May-2014,,,,,Yes,Meghalaya High Court,Karnataka High Court,,Yes,18-Jan-2019,Bar,No,Yes,No,,Yes,No,,,,,,,"Maharaja College, Rajasthan University",Science (Hons.),Jodhpur University,1980.0,1981,Bar Council at Rajasthan,No,No,No
7,Tarun Agarwala,Male,Hindu,General,3-Mar-1956,,,7-Jan-2004,2-Mar-2018,No,No,Allahabad High Court,Yes,Uttarakhand High Court,25-Sep-2009,Allahabad High Court,17-Oct-2012,,,Yes,Meghalaya High Court,,,No,,Bar,No,Yes,No,,Yes,No,,,,,,,Allahabad University,Arts,Allahabad University,,1981,Bar Council at Uttar Pradesh,No,No,No
8,Mohammad Yaqoob Mir,Male,Muslim,,28-May-1957,Jammu & Kashmir,Pulwama,23-Nov-2007,27-May-2019,No,No,High Court of Jammu & Kashmir,No,,,,,,,Yes,Meghalaya High Court,,,No,,Service,Yes,Yes,,Yes,,No,No,No,No,,,,,,Kashmir University,,1981,Bar Council at Jammu & Kashmir,No,No,No
9,Ajay Kumar Mittal,Male,Hindu,General,30-Sep-1958,Chandigarh,Punjab/Haryana,9-Jan-2004,29-Sep-2020,No,No,Punjab & Haryana High Court,No,,,,,,,Yes,Meghalaya High Court,Madhya Pradesh High Court,,No,,Bar,No,Yes,No,,Yes,No,,,,,,,"Sri Ram College of Commerce, Delhi University ",Commerce (Hons.),"Faculty of Law, Delhi University",1980.0,1980,Bar Council of Punjab & Haryana,No,No,No
10,Mohammad Rafiq,Male,Muslim,,25-May-1960,Rajasthan,"Sujangarh, Charu",15-May-2006,24-May-2022,No,No,Rajasthan High Court,No,,,,,,,Yes,Meghalaya High Court,Orissa High Court,Madhya Pradesh High Court,No,,Bar,No,Yes,No,,Yes,No,,,Yes,,,,University of Rajasthan,Commerce (Hons.),University of Rajasthan,1984.0,1984,Bar Council at Rajasthan,No,Yes,No
11,Biswanath Somadder,Male,Hindu,General,15-Dec-1963,West Bengal,Calcutta,22-Jun-2006,14-Dec-2025,No,No,Calcutta High Court,Yes,Allahabad High Court,7-Oct-2019,,,,,Yes,Meghalaya High Court,,,No,,Bar,No,Yes,Yes,,Yes,No,,,,,,"La Martiniere for Boys School, Calcutta",University Of Calcutta,Arts,University of Calcutta,,1989,Bar Council at West Bengal,No,No,No
12,Ranjit Vasantrao More,Male,Hindu,General,4-Nov-1959,Maharashtra,"Nimsod, Tq. Khatau, Satara",8-Sep-2006,3-Nov-2021,No,No,Bombay High Court,Yes,Meghalaya High Court,9-Mar-2020,,,,,No,,,,No,,Bar,No,Yes,No,,Yes,No,,,,,Yes,"Nimsod, Satara",Kolhapur,Arts (Hons.),"Shivaji University, Kolhapur",,1983,Bar Council at Maharashtra & Goa,No,No,Yes
13,Hamarsan Simh Thangkhiew,Male,Hindu,ST,24-Dec-1966,Meghalaya,Shillong,19-Nov-2018,23-Dec-2028,No,No,Meghalaya High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,,Yes,No,,,Yes,,,"St. Edmund’s College, Shillong","St. Edmund’s College, Shillong",,Delhi University,1990.0,1991,"Bar Council of Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
